fecha,hora,demanda
13/06/2013,12,221.115
13/06/2013,13,205.853
13/06/2013,14,203.212
13/06/2013,15,210.423
13/06/2013,16,221.439
13/06/2013,17,236.115
13/06/2013,18,276.77
13/06/2013,19,292.48
13/06/2013,20,286.139
13/06/2013,21,278.04
13/06/2013,22,262.03
13/06/2013,23,236.009
14/06/2013,0,207.555
14/06/2013,1,187.76
14/06/2013,2,177.68
14/06/2013,3,173.343
14/06/2013,4,172.124
14/06/2013,5,178.959
14/06/2013,6,201.126
14/06/2013,7,214.865
14/06/2013,8,213.794
14/06/2013,9,212.444
14/06/2013,10,220.875
14/06/2013,11,225.379
14/06/2013,12,220.065
14/06/2013,13,216.882
14/06/2013,14,211.748
14/06/2013,15,212.557
14/06/2013,16,226.697
14/06/2013,17,247.086
14/06/2013,18,282.24
14/06/2013,19,288.705
14/06/2013,20,287.814
14/06/2013,21,278.697
14/06/2013,22,262.746
14/06/2013,23,237.192
15/06/2013,0,214.981
15/06/2013,1,196.562
15/06/2013,2,186.37
15/06/2013,3,180.541
15/06/2013,4,178.555
15/06/2013,5,179.136
15/06/2013,6,187.44
15/06/2013,7,198.302
15/06/2013,8,204.554
15/06/2013,9,214.807
15/06/2013,10,219.58
15/06/2013,11,219.864
15/06/2013,12,218.139
15/06/2013,13,214.73
15/06/2013,14,210.667
15/06/2013,15,209.44
15/06/2013,16,217.338
15/06/2013,17,236.799
15/06/2013,18,275.433
15/06/2013,19,285.991
15/06/2013,20,283.888
15/06/2013,21,277.179
15/06/2013,22,265.441
15/06/2013,23,243.531
16/06/2013,0,220.15
16/06/2013,1,203.731
16/06/2013,2,188.613
16/06/2013,3,180.493
16/06/2013,4,175.487
16/06/2013,5,173.878
16/06/2013,6,174.936
16/06/2013,7,176.859
16/06/2013,8,178.011
16/06/2013,9,187.534
16/06/2013,10,196.201
16/06/2013,11,196.631
16/06/2013,12,189.676
16/06/2013,13,179.218
16/06/2013,14,177.071
16/06/2013,15,181.812
16/06/2013,16,192.28
16/06/2013,17,217.087
16/06/2013,18,259.235
16/06/2013,19,274.347
16/06/2013,20,276.179
16/06/2013,21,272.087
16/06/2013,22,259.775
16/06/2013,23,234.835
17/06/2013,0,208.889
17/06/2013,1,190.548
17/06/2013,2,178.905
17/06/2013,3,172.862
17/06/2013,4,172.054
17/06/2013,5,179.34
17/06/2013,6,202.108
17/06/2013,7,220.653
17/06/2013,8,221.002
17/06/2013,9,226.066
17/06/2013,10,231.301
17/06/2013,11,239.573
17/06/2013,12,238.964
17/06/2013,13,231.58
17/06/2013,14,228.996
17/06/2013,15,229.046
17/06/2013,16,241.418
17/06/2013,17,262.795
17/06/2013,18,295.682
17/06/2013,19,305.467
17/06/2013,20,307.03
17/06/2013,21,301.274
17/06/2013,22,287.971
17/06/2013,23,261.146
18/06/2013,0,227.842
18/06/2013,1,199.612
18/06/2013,2,187.993
18/06/2013,3,181.053
18/06/2013,4,180.147
18/06/2013,5,185.819
18/06/2013,6,210.605
18/06/2013,7,229.495
18/06/2013,8,227.823
18/06/2013,9,227.872
18/06/2013,10,232.453
18/06/2013,11,240.78
18/06/2013,12,237.43
18/06/2013,13,227.834
18/06/2013,14,228.051
18/06/2013,15,228.038
18/06/2013,16,240.869
18/06/2013,17,264.072
18/06/2013,18,296.19
18/06/2013,19,305.585
18/06/2013,20,306.577
18/06/2013,21,302.843
18/06/2013,22,286.635
18/06/2013,23,256.835
19/06/2013,0,227.723
19/06/2013,1,202.625
19/06/2013,2,189.55
19/06/2013,3,184.412
19/06/2013,4,183.513
19/06/2013,5,190.019
19/06/2013,6,211.999
19/06/2013,7,228.641
19/06/2013,8,229.572
19/06/2013,9,233.002
19/06/2013,10,236.889
19/06/2013,11,244.09
19/06/2013,12,243.15
19/06/2013,13,240.671
19/06/2013,14,237.96
19/06/2013,15,238.418
19/06/2013,16,247.454
19/06/2013,17,258.63
19/06/2013,18,296.21
19/06/2013,19,316.774
19/06/2013,20,317.714
19/06/2013,21,315.826
19/06/2013,22,304.071
19/06/2013,23,278.848
20/06/2013,0,253.403
20/06/2013,1,228.656
20/06/2013,2,212.771
20/06/2013,3,205.77
20/06/2013,4,203.02
20/06/2013,5,202.121
20/06/2013,6,207.906
20/06/2013,7,214.629
20/06/2013,8,217.159
20/06/2013,9,226.953
20/06/2013,10,234.687
